Name,Rank,Revenues (M),Mission,Mission Link
CMS Energy,403,"$6,456",,
Alliance Data Systems,404,"$6,440",,
JetBlue Airways,405,"$6,416",,
Discovery Communications,406,"$6,394",,
Trinity Industries,407,"$6,393",,
Sanmina,408,"$6,375",,
NCR,409,"$6,373",,
FMC Technologies,410,"$6,363",,
Erie Insurance Group,411,"$6,351",,
Rockwell Automation,412,"$6,308",,
Dr Pepper Snapple Group,413,"$6,282",,
iHeartMedia,414,"$6,242",,
Tractor Supply,415,"$6,227",,
J.B. Hunt Transport Services,416,"$6,188",,
Commercial Metals,417,"$6,162",,
Owens-Illinois,418,"$6,156",,
Harman International Industries,419,"$6,155",,
Baxalta,420,"$6,149",,
American Financial Group,421,"$6,145",,
NetApp,422,"$6,123",,
Graybar Electric,423,"$6,110",,
Oshkosh,424,"$6,098",,
Ameren,425,"$6,098",,
A-Mark Precious Metals,426,"$6,070",,
Barnes & Noble,427,"$6,070",,
Dana Holding,428,"$6,060",,
Constellation Brands,429,"$6,028",,
LifePoint Health,430,"$6,014",,
Zimmer Biomet Holdings,431,"$5,998",,
Harley-Davidson,432,"$5,995",,
PulteGroup,433,"$5,982",,
Newell Brands,434,"$5,972",,
Avery Dennison,435,"$5,967",,
Jones Lang LaSalle,436,"$5,966",,
WEC Energy Group,437,"$5,926",,
Marathon Oil,438,"$5,861",,
TravelCenters of America,439,"$5,851",,
United Rentals,440,"$5,817",,
HRG Group,441,"$5,816",,
Old Republic International,442,"$5,766",,
Windstream Holdings,443,"$5,765",,
Starwood Hotels & Resorts,444,"$5,763",,
Delek US Holdings,445,"$5,762",,
Packaging Corp. of America,446,"$5,742",,
Quintiles Transnational Holdings,447,"$5,738",,
Hanesbrands,448,"$5,732",,
Realogy Holdings,449,"$5,706",,
Mattel,450,"$5,703",,
Motorola Solutions,451,"$5,695",,
J.M. Smucker,452,"$5,693",,
Regions Financial,453,"$5,674",,
Celanese,453,"$5,674",,
Clorox,455,"$5,666",,
Ingredion,456,"$5,621",,
Genesis Healthcare,457,"$5,619",,
Peabody Energy,458,"$5,609",,
Alaska Air Group,459,"$5,598",,
Seaboard,460,"$5,594",,
Frontier Communications,461,"$5,576",,
Amphenol,462,"$5,569",,
Lansing Trade Group,463,"$5,565",,
SanDisk,464,"$5,565",,
St. Jude Medical,465,"$5,541",,
Wyndham Worldwide,466,"$5,536",,
Kelly Services,467,"$5,518",,
Western Union,468,"$5,484",,
Envision Healthcare Holdings,469,"$5,448",,
Visteon,470,"$5,444",,
Arthur J. Gallagher,471,"$5,392",,
Host Hotels & Resorts,472,"$5,387",,
Ashland,472,"$5,387",,
Insight Enterprises,474,"$5,373",,
Energy Future Holdings,475,"$5,370",,
Markel,476,"$5,370",,
Essendant,477,"$5,363",,
CH2M Hill,478,"$5,362",,
Western & Southern Financial Group,479,"$5,356",,
Owens Corning,480,"$5,350",,
S&P Global,481,"$5,313",,
Raymond James Financial,482,"$5,308",,
NiSource,483,"$5,308",,
Airgas,484,"$5,305",,
ABM Industries,485,"$5,291",,
Citizens Financial Group,486,"$5,276",,
Booz Allen Hamilton Holding,487,"$5,275",,
Simon Property Group,488,"$5,266",,
Domtar,489,"$5,264",,
Rockwell Collins,490,"$5,262",,
Lam Research,491,"$5,259",,
Fiserv,492,"$5,254",,
Spectra Energy,493,"$5,234",,
Navient,494,"$5,197",,
Big Lots,495,"$5,191",,
Telephone & Data Systems,496,"$5,176",,
First American Financial,497,"$5,176",,
NVR,498,"$5,170",,
Cincinnati Financial,499,"$5,142",,
Burlington Stores,500,"$5,130",,
KBR,501,"$5,096",,
Neiman Marcus Group,502,"$5,095",,
Robert Half International,503,"$5,095",,
Leidos Holdings,504,"$5,086",,
Harris,505,"$5,083",,
Hanover Insurance Group,506,"$5,034",,
Pepco Holdings,507,"$5,023",,
Nvidia,508,"$5,010",,
Alleghany,509,"$5,000",,
M&T Bank Corp.,510,"$4,996",,
Rush Enterprises,511,"$4,980",,
Williams-Sonoma,512,"$4,976",,
Yahoo,513,"$4,968",,
Sonoco Products,514,"$4,964",,
Brookdale Senior Living,515,"$4,961",,
Tutor Perini,516,"$4,921",,
Michaels Cos.,517,"$4,913",,
Berry Plastics Group,518,"$4,881",,
Juniper Networks,519,"$4,858",,
Northern Trust,520,"$4,857",,
YRC Worldwide,521,"$4,832",,
Pioneer Natural Resources,522,"$4,826",,
Ascena Retail Group,523,"$4,803",,
Adobe Systems,524,"$4,796",,
Liberty Media,525,"$4,795",,
American Tower,526,"$4,772",,
Zoetis,527,"$4,765",,
Polaris Industries,528,"$4,719",,
Intercontinental Exchange,529,"$4,682",,
Quad/Graphics,530,"$4,678",,
AmTrust Financial Services,531,"$4,664",,
Activision Blizzard,532,"$4,664",,
Fortune Brands Home & Security,533,"$4,658",,
Caesars Entertainment,534,"$4,654",,
Post Holdings,535,"$4,648",,
Blackstone Group,536,"$4,647",,
Magellan Health,537,"$4,597",,
RPM International,538,"$4,595",,
Flowserve,539,"$4,561",,
KeyCorp,540,"$4,542",,
MRC Global,541,"$4,529",,
Keurig Green Mountain,542,"$4,520",,
Electronic Arts,543,"$4,515",,
General Cable,544,"$4,515",,
Cintas,545,"$4,508",,
Chipotle Mexican Grill,546,"$4,501",,
Levi Strauss,547,"$4,495",,
Talen Energy,548,"$4,481",,
Westlake Chemical,549,"$4,463",,
Hasbro,550,"$4,448",,
Securian Financial Group,551,"$4,434",,
Intuit,552,"$4,428",,
Cerner,553,"$4,425",,
Coty,554,"$4,395",,
Valspar,555,"$4,393",,
SCANA,556,"$4,380",,
Bloomin’ Brands,557,"$4,378",,
MDU Resources Group,558,"$4,376",,
Patterson,559,"$4,375",,
Orbital ATK,560,"$4,369",,
FM Global,561,"$4,343",,
Hyatt Hotels,562,"$4,328",,
CA,563,"$4,324",,
VWR,564,"$4,319",,
Science Applications International,565,"$4,315",,
CF Industries Holdings,566,"$4,308",,
McCormick,567,"$4,296",,
LPL Financial Holdings,568,"$4,275",,
Alon USA Energy,569,"$4,260",,
Swift Transportation,570,"$4,229",,
Calumet Specialty Products Partners,571,"$4,213",,
MasTec,572,"$4,208",,
T. Rowe Price,573,"$4,201",,
Andersons,574,"$4,199",,
Coach,575,"$4,192",,
Toll Brothers,576,"$4,171",,
Graphic Packaging Holding,577,"$4,160",,
Brunswick,578,"$4,143",,
Atmos Energy,579,"$4,142",,
Hexion,580,"$4,140",,
Watsco,581,"$4,113",,
Tiffany,582,"$4,105",,
Regeneron Pharmaceuticals,583,"$4,104",,
Avaya,584,"$4,081",,
Wynn Resorts,585,"$4,076",,
Bemis,586,"$4,071",,
Mead Johnson Nutrition,587,"$4,071",,
Tesla Motors,588,"$4,046",,
Agilent Technologies,589,"$4,038",,
Torchmark,590,"$4,027",,
Thor Industries,591,"$4,007",,
Cabela’s,592,"$3,998",,
Advanced Micro Devices,593,"$3,991",,
Ametek,594,"$3,974",,
Smart & Final Stores,595,"$3,971",,
Colfax,596,"$3,967",,
Under Armour,597,"$3,963",,
Antero Resources,598,"$3,955",,
Nexeo Solutions Holdings,599,"$3,949",,
AGL Resources,600,"$3,941",,
Leggett & Platt,601,"$3,937",,
Ulta Salon Cosmetics & Fragrance,602,"$3,924",,
CIT Group,603,"$3,906",,
American Axle & Manufacturing,604,"$3,903",,
Triumph Group,605,"$3,889",,
Dynegy,606,"$3,870",,
Fastenal,607,"$3,869",,
WhiteWave Foods,608,"$3,866",,
Welltower,609,"$3,860",,
Sally Beauty Holdings,610,"$3,834",,
CNO Financial Group,611,"$3,812",,
CommScope Holding,612,"$3,808",,
Axiall,613,"$3,787",,
Ingles Markets,614,"$3,779",,
Flowers Foods,615,"$3,779",,
USG,616,"$3,776",,
Silgan Holdings,617,"$3,764",,
Select Medical Holdings,618,"$3,743",,
Crown Castle International,619,"$3,729",,
Allegheny Technologies,620,"$3,720",,
HSN,621,"$3,691",,
Xylem,622,"$3,653",,
Zebra Technologies,623,"$3,652",,
Albemarle,624,"$3,651",,
Resolute Forest Products,625,"$3,645",,
Towers Watson,626,"$3,645",,
Boise Cascade,627,"$3,633",,
Greif,628,"$3,617",,
Team Health Holdings,629,"$3,597",,
Snap-on,630,"$3,593",,
Sprouts Farmers Market,631,"$3,593",,
Roper Technologies,632,"$3,582",,
First Solar,633,"$3,579",,
Pitney Bowes,634,"$3,578",,
ADT,635,"$3,574",,
Molson Coors Brewing,636,"$3,568",,
Builders FirstSource,637,"$3,564",,
Lexmark International,638,"$3,551",,
Carlisle,639,"$3,543",,
CalAtlantic Group,640,"$3,540",,
Martin Marietta Materials,641,"$3,540",,
Hub Group,642,"$3,526",,
American Eagle Outfitters,643,"$3,522",,
Abercrombie & Fitch,644,"$3,519",,
Regal Beloit,645,"$3,510",,
Country Financial,646,"$3,506",,
Meritor,647,"$3,506",,
Tailored Brands,648,"$3,496",,
ON Semiconductor,649,"$3,496",,
Pinnacle West Capital,650,"$3,495",,
Ventas,651,"$3,486",,
Moody’s,652,"$3,485",,
Sprague Resources,653,"$3,482",,
FMC,654,"$3,471",,
Lennox International,655,"$3,467",,
Buckeye Partners,656,"$3,453",,
Urban Outfitters,657,"$3,445",,
Manitowoc,658,"$3,436",,
Analog Devices,659,"$3,435",,
Vulcan Materials,660,"$3,422",,
C.R. Bard,661,"$3,416",,
Murphy Oil,662,"$3,415",,
Nasdaq,663,"$3,403",,
Darling Ingredients,664,"$3,397",,
Church & Dwight,665,"$3,395",,
Hubbell,666,"$3,390",,
Worthington Industries,667,"$3,384",,
PolyOne,668,"$3,378",,
Diplomat Pharmacy,669,"$3,367",,
Cooper-Standard Holdings,670,"$3,343",,
CME Group,671,"$3,327",,
Landstar System,672,"$3,321",,
CACI International,673,"$3,314",,
Westinghouse Air Brake Technologies,674,"$3,308",,
Rent-A-Center,675,"$3,278",,
Citrix Systems,676,"$3,276",,
Clean Harbors,677,"$3,275",,
Skyworks Solutions,678,"$3,258",,
Alliant Energy,679,"$3,254",,
TD Ameritrade Holding,680,"$3,253",,
TEGNA,681,"$3,242",,
IAC/InterActiveCorp,682,"$3,231",,
Fossil Group,683,"$3,229",,
NBTY,684,"$3,226",,
ScanSource,685,"$3,219",,
TreeHouse Foods,686,"$3,206",,
Aleris,687,"$3,206",,
Groupon,688,"$3,187",,
Aaron’s,689,"$3,180",,
Joy Global,690,"$3,172",,
Ryerson Holding,691,"$3,167",,
Helmerich & Payne,692,"$3,165",,
HealthSouth,693,"$3,163",,
Vantiv,694,"$3,160",,
Skechers U.S.A.,695,"$3,159",,
American Water Works,696,"$3,159",,
Iasis Healthcare,697,"$3,158",,
Huntington Bancshares,698,"$3,153",,
Tempur Sealy International,699,"$3,151",,
EchoStar,700,"$3,144",,
CUNA Mutual Group,701,"$3,135",,
Brown-Forman,702,"$3,134",,
Noble Energy,703,"$3,133",,
Southwestern Energy,703,"$3,133",,
Regal Entertainment Group,705,"$3,127",,
Consol Energy,706,"$3,114",,
Time,707,"$3,103",,
Varian Medical Systems,708,"$3,099",,
SkyWest,709,"$3,096",,
BGC Partners,710,"$3,095",,
Puget Energy,711,"$3,093",,
H&R Block,712,"$3,079",,
Amerco,713,"$3,075",,
Brink’s,714,"$3,066",,
Oceaneering International,715,"$3,063",,
Steelcase,716,"$3,060",,
W.R. Grace,717,"$3,052",,
Metaldyne Performance Group,718,"$3,047",,
KB Home,719,"$3,032",,
International Flavors & Fragrances,720,"$3,023",,
Genesco,721,"$3,022",,
Scripps Networks Interactive,722,"$3,018",,
American National Insurance,723,"$3,018",,
Scotts Miracle-Gro,724,"$3,017",,
Unisys,725,"$3,015",,
Carter’s,726,"$3,014",,
NOW,727,"$3,010",,
Mercury General,728,"$3,009",,
Iron Mountain,729,"$3,008",,
Carlyle Group,730,"$3,006",,
Brinker International,731,"$3,002",,
Northern Tier Energy,732,"$3,002",,
LinkedIn,733,"$2,991",,
Service Corp. International,734,"$2,986",,
Stericycle,735,"$2,986",,
Sabre,736,"$2,986",,
Graham Holdings,737,"$2,984",,
Taylor Morrison Home,738,"$2,977",,
Cooper Tire & Rubber,739,"$2,973",,
Old Dominion Freight Line,740,"$2,972",,
Warner Music Group,741,"$2,966",,
Green Plains,742,"$2,966",,
Alpha Natural Resources,743,"$2,965",,
Convergys,744,"$2,951",,
TECO Energy,745,"$2,944",,
IMS Health Holdings,746,"$2,921",,
MSC Industrial Direct,747,"$2,910",,
Systemax,748,"$2,908",,
Triple-S Management,749,"$2,903",,
StanCorp Financial Group,750,"$2,902",,
Universal Forest Products,751,"$2,887",,
Gannett,752,"$2,885",,
Amkor Technology,753,"$2,885",,
Linn Energy,754,"$2,883",,
Sentry Insurance Group,755,"$2,883",,
Weis Markets,756,"$2,877",,
Timken,757,"$2,872",,
Cabot,758,"$2,871",,
Univision Communications,759,"$2,858",,
Keysight Technologies,760,"$2,856",,
Olin,761,"$2,854",,
Cinemark Holdings,762,"$2,853",,
Cracker Barrel Old Country Store,763,"$2,842",,
Penn National Gaming,764,"$2,838",,
Comerica,765,"$2,834",,
AmSurg,766,"$2,833",,
DST Systems,767,"$2,825",,
Legg Mason,768,"$2,819",,
KLA-Tencor,769,"$2,814",,
Sanderson Farms,770,"$2,804",,
PriceSmart,771,"$2,803",,
Superior Energy Services,772,"$2,793",,
Bon-Ton Stores,773,"$2,790",,
KapStone Paper & Packaging,774,"$2,789",,
Mednax,775,"$2,780",,
Total System Services,776,"$2,780",,
Global Payments,777,"$2,774",,
Diebold,778,"$2,768",,
Scientific Games,779,"$2,759",,
Applied Industrial Technologies,780,"$2,752",,
Equity Residential,781,"$2,746",,
Crane,782,"$2,741",,
Paychex,783,"$2,740",,
New Jersey Resources,784,"$2,734",,
B/E Aerospace,785,"$2,730",,
Equinix,786,"$2,726",,
Monster Beverage,787,"$2,723",,
TransDigm Group,788,"$2,707",,
Acuity Brands,789,"$2,707",,
Hologic,790,"$2,705",,
TrueBlue,791,"$2,696",,
Broadridge Financial Solutions,792,"$2,694",,
Verso,793,"$2,692",,
Wolverine World Wide,794,"$2,692",,
Hain Celestial Group,795,"$2,689",,
Heartland Payment Systems,796,"$2,682",,
Panera Bread,797,"$2,682",,
Continental Resources,798,"$2,680",,
Dentsply Sirona,799,"$2,674",,
ArcBest,800,"$2,667",,
